,ID,NAME,LATITUDE,LONGITUDE,DISPLACED,REFUGEES,IDPS,TOTAL_IMPACT,POPULATION
0,11001,"BOGOTÁ, D.C.",4.65052840264,-74.105971599,9532.0,632842.0,4672.0,647342.0,7149540.0
1,05001,MEDELLÍN,6.24894080931,-75.5770556257,51847.0,472998.0,93501.0,618346.0,2359801.0
2,76109,BUENAVENTURA,3.87547430591,-77.0115358955,121542.0,44977.0,194556.0,363096.0,256921.0
3,47001,SANTA MARTA,11.2257031418,-74.1883970495,38902.0,150212.0,63363.0,253788.0,477257.0
4,76001,SANTIAGO DE CALI,3.417586541,-76.5223324663,22567.0,199758.0,7206.0,231540.0,1811385.0
5,70001,SINCELEJO,9.30045521524,-75.3959960644,9098.0,194830.0,7655.0,213446.0,273225.0
6,05837,TURBO,8.09409673761,-76.726431831,86637.0,56690.0,63230.0,206781.0,114212.0
7,52835,TUMACO,1.76133367771,-78.7815440445,70123.0,22541.0,108679.0,202894.0,134862.0
8,20001,VALLEDUPAR,10.4618933985,-73.2585170444,37237.0,97861.0,58607.0,194509.0,455636.0
9,18001,FLORENCIA,1.61733394988,-75.6068902091,31527.0,128152.0,10782.0,171149.0,152474.0
10,13001,CARTAGENA DE INDIAS,10.3988164844,-75.5012292161,14604.0,145308.0,2208.0,162418.0,884084.0
11,23001,MONTERÍA,8.7464225829,-75.8766346495,18800.0,109056.0,24769.0,153479.0,431279.0
12,08001,BARRANQUILLA,10.9794593386,-74.8168347868,7743.0,143132.0,711.0,151836.0,1115490.0
13,13244,EL CARMEN DE BOLÍVAR,9.71803422097,-75.1211388327,83580.0,4337.0,63346.0,151585.0,67376.0
14,05045,APARTADÓ,7.88271669619,-76.6261859723,60770.0,67076.0,23553.0,151423.0,112396.0
15,54001,CÚCUTA,7.90526711659,-72.5055909659,23067.0,115582.0,9789.0,149995.0,624729.0
16,19001,POPAYÁN,2.4476985537,-76.6244690332,5874.0,133676.0,1683.0,141953.0,272901.0
17,50001,VILLAVICENCIO,4.12295758045,-73.626877897,9527.0,128864.0,1947.0,141709.0,446537.0
18,27001,SAN FRANCISCO DE QUIBDO,5.69234946496,-76.6511246326,26831.0,82659.0,26648.0,137283.0,119481.0
19,23807,TIERRALTA,8.17224654791,-76.062316628,83773.0,9180.0,39363.0,133224.0,85813.0
20,73001,IBAGUÉ,4.43963072518,-75.1963501465,11670.0,91534.0,12924.0,118043.0,494059.0
21,27615,RIOSUCIO,7.43338275367,-77.111109838,84478.0,2027.0,23532.0,111232.0,47901.0
22,68081,BARRANCABERMEJA,7.06797552653,-73.8466857443,32997.0,56130.0,10592.0,101420.0,197974.0
23,52001,SAN JUAN DE PASTO,1.21283942448,-77.2781249942,6173.0,84442.0,8211.0,100255.0,349352.0
24,68001,BUCARAMANGA,7.1159014435,-73.1325367611,6621.0,83021.0,1472.0,92803.0,523426.0
25,41001,NEIVA,2.93554559249,-75.2779458694,10087.0,72963.0,6778.0,91035.0,313310.0
26,44001,RIOHACHA,11.5291254274,-72.9122712548,14174.0,44409.0,29907.0,89771.0,176830.0
27,54810,TIBÚ,8.63971770041,-72.7359193716,68298.0,3802.0,10898.0,84627.0,51144.0
28,05172,CHIGORODÓ,7.6661564496,-76.6815647245,27224.0,44302.0,10517.0,82113.0,55558.0
