ID	NAME	LATITUDE	LONGITUDE	DISPLACED	REFUGEES	IDPS	TOTAL_IMPACT	POPULATION
11001	BOGOTÁ, D.C.	4.650528403	-74.1059716	7290	536598	3469	547357	6840116
5001	MEDELLÍN	6.248940809	-75.57705563	41118	373898	81812	496828	2214494
76109	BUENAVENTURA	3.875474306	-77.0115359	95509	34393	152959	282861	328794
47001	SANTA MARTA	11.22570314	-74.18839705	35085	143341	59036	237462	415270
5837	TURBO	8.094096738	-76.72643183	72127	53607	56110	181844	121919
76001	SANTIAGO DE CALI	3.417586541	-76.52233247	17084	148077	3177	168338	2119908
20001	VALLEDUPAR	10.4618934	-73.25851704	32436	83963	51286	167685	354449
70001	SINCELEJO	9.300455215	-75.39599606	7662	144112	5000	156774	237618
18001	FLORENCIA	1.61733395	-75.60689021	26683	109520	9243	145446	143871
52835	TUMACO	1.761333678	-78.78154404	43704	17029	82390	143123	160034
13001	CARTAGENA DE INDIAS	10.39881648	-75.50122922	12945	121634	1979	136558	892545
5045	APARTADÓ	7.882716696	-76.62618597	50771	59418	20960	131149	131405
13244	EL CARMEN DE BOLÍVAR	9.718034221	-75.12113883	72023	3415	52559	127997	67952
8001	BARRANQUILLA	10.97945934	-74.81683479	5939	117739	413	124091	1146359
23001	MONTERÍA	8.746422583	-75.87663465	14282	89511	19567	123360	378970
50001	VILLAVICENCIO	4.12295758	-73.6268779	7725	107365	1584	116674	380222
19001	POPAYÁN	2.447698554	-76.62446903	4522	110174	1450	116146	257512
54001	CÚCUTA	7.905267117	-72.50559097	16922	91560	6928	115410	587676
23807	TIERRALTA	8.172246548	-76.06231663	70061	7034	35171	112266	78770
27001	SAN FRANCISCO DE QUIBDO	5.692349465	-76.65112463	19183	70189	22434	111806	112886
73001	IBAGUÉ	4.439630725	-75.19635015	10112	75833	10841	96786	498401
27615	RIOSUCIO	7.433382754	-77.11110984	74710	1387	20369	96466	28230
68081	BARRANCABERMEJA	7.067975527	-73.84668574	28240	49094	9492	86826	190058
