FID,DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
0,86,757,SAN MIGUEL,1996,0,0.273017004291000,-76.845343275999994,86757,86757.000000000000000,19479.000000000000000,1551.000000000000000,3675.000000000000000,24705.000000000000000
1,05,001,MEDELLÍN,2010,5,6.248940809310000,-75.577055625699998,05001,5001.000000000000000,41118.000000000000000,373898.000000000000000,81812.000000000000000,496828.000000000000000
2,05,045,APARTADÓ,2006,5,7.882716696190000,-76.626185972299993,05045,5045.000000000000000,50771.000000000000000,59418.000000000000000,20960.000000000000000,131149.000000000000000
3,05,147,CAREPA,2006,5,7.755117030750000,-76.654051075799998,05147,5147.000000000000000,13567.000000000000000,24293.000000000000000,5530.000000000000000,43390.000000000000000
4,05,154,CAUCASIA,2012,5,7.977760369960000,-75.198514343499994,05154,5154.000000000000000,17002.000000000000000,15499.000000000000000,3517.000000000000000,36018.000000000000000
5,05,172,CHIGORODÓ,2012,5,7.666156449600000,-76.681564724500006,05172,5172.000000000000000,23021.000000000000000,37304.000000000000000,9159.000000000000000,69484.000000000000000
6,05,250,EL BAGRE,2012,5,7.592954652350000,-74.804710426000000,05250,5250.000000000000000,24328.000000000000000,3547.000000000000000,12593.000000000000000,40468.000000000000000
7,05,440,MARINILLA,2012,5,6.173548139760000,-75.338078435699998,05440,5440.000000000000000,1946.000000000000000,8065.000000000000000,1969.000000000000000,11980.000000000000000
8,05,615,RIONEGRO,2012,5,6.146220060570000,-75.376255755100004,05615,5615.000000000000000,1529.000000000000000,14588.000000000000000,286.000000000000000,16403.000000000000000
9,05,837,TURBO,2012,5,8.094096737610000,-76.726431830999999,05837,5837.000000000000000,72127.000000000000000,53607.000000000000000,56110.000000000000000,181844.000000000000000
10,05,885,YALÍ,2012,5,6.668252580660000,-74.841174757199994,05885,5885.000000000000000,1685.000000000000000,276.000000000000000,162.000000000000000,2123.000000000000000
11,05,030,AMAGÁ,2011,5,6.035833513410000,-75.701762465200005,05030,5030.000000000000000,1696.000000000000000,1150.000000000000000,102.000000000000000,2948.000000000000000
12,05,031,AMALFI,2011,5,6.907031797890000,-75.073577021399998,05031,5031.000000000000000,5295.000000000000000,1855.000000000000000,2216.000000000000000,9366.000000000000000
13,05,036,ANGELÓPOLIS,2011,5,6.113464819930000,-75.715175063999993,05036,5036.000000000000000,1108.000000000000000,323.000000000000000,522.000000000000000,1953.000000000000000
14,05,093,BETULIA,2011,5,6.109099807290000,-75.984190747900001,05093,5093.000000000000000,10703.000000000000000,2393.000000000000000,9314.000000000000000,22410.000000000000000
15,05,107,BRICEÑO,2011,5,7.112513436730000,-75.550714004000000,05107,5107.000000000000000,4754.000000000000000,386.000000000000000,1910.000000000000000,7050.000000000000000
16,05,113,BURITICÁ,2011,5,6.719529795220000,-75.907130791499995,05113,5113.000000000000000,2785.000000000000000,210.000000000000000,3873.000000000000000,6868.000000000000000
17,05,129,CALDAS,2011,5,6.091577846500000,-75.634493804200005,05129,5129.000000000000000,1262.000000000000000,3517.000000000000000,145.000000000000000,4924.000000000000000
18,05,002,ABEJORRAL,2011,5,5.789539960260000,-75.428920421699999,05002,5002.000000000000000,6697.000000000000000,798.000000000000000,3292.000000000000000,10787.000000000000000
19,05,004,ABRIAQUÍ,2011,5,6.633863006020000,-76.064752796700006,05004,5004.000000000000000,1384.000000000000000,473.000000000000000,375.000000000000000,2232.000000000000000
20,05,021,ALEJANDRÍA,2011,5,6.375931813650000,-75.141322956600007,05021,5021.000000000000000,3293.000000000000000,694.000000000000000,2923.000000000000000,6910.000000000000000
21,05,079,BARBOSA,2011,5,6.439060382290000,-75.332388127900003,05079,5079.000000000000000,2570.000000000000000,3179.000000000000000,1491.000000000000000,7240.000000000000000
22,05,088,BELLO,2011,5,6.333785562340000,-75.554447576200005,05088,5088.000000000000000,7634.000000000000000,45571.000000000000000,1375.000000000000000,54580.000000000000000
23,05,055,ARGELIA,2011,5,5.731560893900000,-75.142715590500003,05055,5055.000000000000000,12169.000000000000000,1194.000000000000000,11827.000000000000000,25190.000000000000000
24,05,059,ARMENIA,2011,5,6.156269832380000,-75.787006878200003,05059,5059.000000000000000,520.000000000000000,234.000000000000000,71.000000000000000,825.000000000000000
25,05,086,BELMIRA,2011,5,6.605435885840000,-75.666836522899999,05086,5086.000000000000000,532.000000000000000,344.000000000000000,30.000000000000000,906.000000000000000
26,05,091,BETANIA,2011,5,5.749214258940000,-75.981769368200005,05091,5091.000000000000000,2332.000000000000000,849.000000000000000,517.000000000000000,3698.000000000000000
27,05,101,CIUDAD BOLÍVAR,2011,5,5.851067448550000,-76.022795856299993,05101,5101.000000000000000,3815.000000000000000,2069.000000000000000,405.000000000000000,6289.000000000000000
28,05,120,CÁCERES,2011,5,7.576321581070000,-75.350108309800007,05120,5120.000000000000000,12748.000000000000000,3488.000000000000000,5000.000000000000000,21236.000000000000000
29,05,034,ANDES,2011,5,5.656884695380000,-75.879251018999994,05034,5034.000000000000000,3509.000000000000000,2710.000000000000000,456.000000000000000,6675.000000000000000
30,05,038,ANGOSTURA,2011,5,6.885366193000000,-75.334947988799996,05038,5038.000000000000000,2127.000000000000000,331.000000000000000,2037.000000000000000,4495.000000000000000
31,05,040,ANORÍ,2011,5,7.078008333240000,-75.148399900399994,05040,5040.000000000000000,7647.000000000000000,507.000000000000000,6559.000000000000000,14713.000000000000000
32,05,042,SANTA FÉ DE ANTIOQUIA,2011,5,6.558643976090000,-75.827253709299995,05042,5042.000000000000000,2645.000000000000000,1401.000000000000000,791.000000000000000,4837.000000000000000
33,05,044,ANZÁ,2011,5,6.302230468290000,-75.853713331899996,05044,5044.000000000000000,1960.000000000000000,363.000000000000000,2370.000000000000000,4693.000000000000000
34,05,051,ARBOLETES,2011,5,8.850601882039999,-76.426683424999993,05051,5051.000000000000000,21332.000000000000000,9052.000000000000000,4679.000000000000000,35063.000000000000000
35,05,125,CAICEDO,2011,5,6.405787589620000,-75.984153352000007,05125,5125.000000000000000,2780.000000000000000,563.000000000000000,216.000000000000000,3559.000000000000000
36,05,142,CARACOLÍ,2011,5,6.402509227950000,-74.759202502999997,05142,5142.000000000000000,793.000000000000000,372.000000000000000,169.000000000000000,1334.000000000000000
37,05,145,CARAMANTA,2011,5,5.549094786140000,-75.645331566500005,05145,5145.000000000000000,651.000000000000000,179.000000000000000,33.000000000000000,863.000000000000000
38,05,212,COPACABANA,2011,5,6.358227530950000,-75.502422675999995,05212,5212.000000000000000,758.000000000000000,4423.000000000000000,92.000000000000000,5273.000000000000000
39,05,234,DABEIBA,2011,5,7.000034026470000,-76.262974097300003,05234,5234.000000000000000,26207.000000000000000,2338.000000000000000,12674.000000000000000,41219.000000000000000
40,05,266,ENVIGADO,2011,5,6.166661797430000,-75.583190734499993,05266,5266.000000000000000,436.000000000000000,4388.000000000000000,60.000000000000000,4884.000000000000000
41,05,282,FREDONIA,2011,5,5.924840041160000,-75.671166144200001,05282,5282.000000000000000,665.000000000000000,872.000000000000000,37.000000000000000,1574.000000000000000
42,05,284,FRONTINO,2011,5,6.775585014440000,-76.131223396799996,05284,5284.000000000000000,8539.000000000000000,3232.000000000000000,7089.000000000000000,18860.000000000000000
