ID	NAME	LATITUDE	LONGITUDE	DISPLACED	REFUGEES	IDPS	TOTAL_IMPACT	POPULATION
11001	BOGOTÁ, D.C.	4.65052840264	-74.105971599	9532	632842	4672	647342	7149540
5001	MEDELLÍN	6.24894080931	-75.5770556257	51847	472998	93501	618346	2359801
76109	BUENAVENTURA	3.87547430591	-77.0115358955	121542	44977	194556	363096	256921
47001	SANTA MARTA	11.2257031418	-74.1883970495	38902	150212	63363	253788	477257
76001	SANTIAGO DE CALI	3.417586541	-76.5223324663	22567	199758	7206	231540	1811385
70001	SINCELEJO	9.30045521524	-75.3959960644	9098	194830	7655	213446	273225
5837	TURBO	8.09409673761	-76.726431831	86637	56690	63230	206781	114212
52835	TUMACO	1.76133367771	-78.7815440445	70123	22541	108679	202894	134862
20001	VALLEDUPAR	10.4618933985	-73.2585170444	37237	97861	58607	194509	455636
18001	FLORENCIA	1.61733394988	-75.6068902091	31527	128152	10782	171149	152474
13001	CARTAGENA DE INDIAS	10.3988164844	-75.5012292161	14604	145308	2208	162418	884084
23001	MONTERÍA	8.7464225829	-75.8766346495	18800	109056	24769	153479	431279
8001	BARRANQUILLA	10.9794593386	-74.8168347868	7743	143132	711	151836	1115490
13244	EL CARMEN DE BOLÍVAR	9.71803422097	-75.1211388327	83580	4337	63346	151585	67376
5045	APARTADÓ	7.88271669619	-76.6261859723	60770	67076	23553	151423	112396
54001	CÚCUTA	7.90526711659	-72.5055909659	23067	115582	9789	149995	624729
19001	POPAYÁN	2.4476985537	-76.6244690332	5874	133676	1683	141953	272901
50001	VILLAVICENCIO	4.12295758045	-73.626877897	9527	128864	1947	141709	446537
27001	SAN FRANCISCO DE QUIBDO	5.69234946496	-76.6511246326	26831	82659	26648	137283	119481
23807	TIERRALTA	8.17224654791	-76.062316628	83773	9180	39363	133224	85813
73001	IBAGUÉ	4.43963072518	-75.1963501465	11670	91534	12924	118043	494059
27615	RIOSUCIO	7.43338275367	-77.111109838	84478	2027	23532	111232	47901
68081	BARRANCABERMEJA	7.06797552653	-73.8466857443	32997	56130	10592	101420	197974
52001	SAN JUAN DE PASTO	1.21283942448	-77.2781249942	6173	84442	8211	100255	349352
68001	BUCARAMANGA	7.1159014435	-73.1325367611	6621	83021	1472	92803	523426
41001	NEIVA	2.93554559249	-75.2779458694	10087	72963	6778	91035	313310
44001	RIOHACHA	11.5291254274	-72.9122712548	14174	44409	29907	89771	176830
54810	TIBÚ	8.63971770041	-72.7359193716	68298	3802	10898	84627	51144
5172	CHIGORODÓ	7.6661564496	-76.6815647245	27224	44302	10517	82113	55558
